t,ue_x,ue_y,ue_vx_mps,ue_vy_mps,current_tower,candidate_tower,predictive_model,replay_mode,tower_a_risk_score,tower_b_risk_score,tower_c_risk_score,tower_d_risk_score,tower_a_rss_dbm,tower_a_doppler_hz,tower_a_distance_m,tower_a_blocked,tower_b_rss_dbm,tower_b_doppler_hz,tower_b_distance_m,tower_b_blocked,tower_c_rss_dbm,tower_c_doppler_hz,tower_c_distance_m,tower_c_blocked,tower_d_rss_dbm,tower_d_doppler_hz,tower_d_distance_m,tower_d_blocked
0.0174,670,486,176.4706,505.8824,TOWER_A,TOWER_D,velocity,0,1.201522,1.21969,1.213193,1.235149,-44.2077,7303.2544,54.9946,0,-38.0761,6966.1846,30.5378,0,-39.7927,-798.677,36.005,0,-32.9473,-9564.0234,18.6698,0
0.0337,670,486,0.0,0.0,TOWER_A,TOWER_D,velocity,0,1.227377,1.245772,1.240622,1.261158,-44.2077,0.0,54.9946,0,-38.0761,0.0,30.5378,0,-39.7927,0.0,36.005,0,-32.9473,0.0,18.6698,0
0.0505,670,486,0.0,0.0,TOWER_A,TOWER_D,velocity,0,1.227377,1.245772,1.240622,1.261158,-44.2077,0.0,54.9946,0,-38.0761,0.0,30.5378,0,-39.7927,0.0,36.005,0,-32.9473,0.0,18.6698,0
0.0669,670,486,0.0,0.0,TOWER_A,TOWER_D,velocity,0,1.227377,1.245772,1.240622,1.261158,-44.2077,0.0,54.9946,0,-38.0761,0.0,30.5378,0,-39.7927,0.0,36.005,0,-32.9473,0.0,18.6698,0
0.0837,670,486,0.0,0.0,TOWER_A,TOWER_D,velocity,0,1.227377,1.245772,1.240622,1.261158,-44.2077,0.0,54.9946,0,-38.0761,0.0,30.5378,0,-39.7927,0.0,36.005,0,-32.9473,0.0,18.6698,0
0.0996,670,486,0.0,0.0,TOWER_A,TOWER_D,velocity,0,1.227377,1.245772,1.240622,1.261158,-44.2077,0.0,54.9946,0,-38.0761,0.0,30.5378,0,-39.7927,0.0,36.005,0,-32.9473,0.0,18.6698,0
0.1161,670,486,0.0,0.0,TOWER_A,TOWER_D,velocity,0,1.227377,1.245772,1.240622,1.261158,-44.2077,0.0,54.9946,0,-38.0761,0.0,30.5378,0,-39.7927,0.0,36.005,0,-32.9473,0.0,18.6698,0
0.1325,670,486,0.0,0.0,TOWER_A,TOWER_D,velocity,0,1.227377,1.245772,1.240622,1.261158,-44.2077,0.0,54.9946,0,-38.0761,0.0,30.5378,0,-39.7927,0.0,36.005,0,-32.9473,0.0,18.6698,0
0.1488,670,486,0.0,0.0,TOWER_A,TOWER_D,velocity,0,1.227377,1.245772,1.240622,1.261158,-44.2077,0.0,54.9946,0,-38.0761,0.0,30.5378,0,-39.7927,0.0,36.005,0,-32.9473,0.0,18.6698,0
0.1662,670,486,0.0,0.0,TOWER_A,TOWER_D,velocity,0,1.227377,1.245772,1.240622,1.261158,-44.2077,0.0,54.9946,0,-38.0761,0.0,30.5378,0,-39.7927,0.0,36.005,0,-32.9473,0.0,18.6698,0
0.1827,670,486,0.0,0.0,TOWER_A,TOWER_D,velocity,0,1.227377,1.245772,1.240622,1.261158,-44.2077,0.0,54.9946,0,-38.0761,0.0,30.5378,0,-39.7927,0.0,36.005,0,-32.9473,0.0,18.6698,0
0.1988,670,486,0.0,0.0,TOWER_A,TOWER_D,velocity,0,1.227377,1.245772,1.240622,1.261158,-44.2077,0.0,54.9946,0,-38.0761,0.0,30.5378,0,-39.7927,0.0,36.005,0,-32.9473,0.0,18.6698,0
0.2151,670,486,0.0,0.0,TOWER_A,TOWER_D,velocity,0,1.227377,1.245772,1.240622,1.261158,-44.2077,0.0,54.9946,0,-38.0761,0.0,30.5378,0,-39.7927,0.0,36.005,0,-32.9473,0.0,18.6698,0
0.2325,670,486,0.0,0.0,TOWER_A,TOWER_D,velocity,0,1.227377,1.245772,1.240622,1.261158,-44.2077,0.0,54.9946,0,-38.0761,0.0,30.5378,0,-39.7927,0.0,36.005,0,-32.9473,0.0,18.6698,0
0.2488,670,486,0.0,0.0,TOWER_A,TOWER_D,velocity,0,1.227377,1.245772,1.240622,1.261158,-44.2077,0.0,54.9946,0,-38.0761,0.0,30.5378,0,-39.7927,0.0,36.005,0,-32.9473,0.0,18.6698,0
0.2651,670,486,0.0,0.0,TOWER_A,TOWER_D,velocity,0,1.227377,1.245772,1.240622,1.261158,-44.2077,0.0,54.9946,0,-38.0761,0.0,30.5378,0,-39.7927,0.0,36.005,0,-32.9473,0.0,18.6698,0
0.2825,670,486,0.0,0.0,TOWER_A,TOWER_D,velocity,0,1.227377,1.245772,1.240622,1.261158,-44.2077,0.0,54.9946,0,-38.0761,0.0,30.5378,0,-39.7927,0.0,36.005,0,-32.9473,0.0,18.6698,0
0.2996,670,486,0.0,0.0,TOWER_A,TOWER_D,velocity,0,1.227377,1.245772,1.240622,1.261158,-44.2077,0.0,54.9946,0,-38.0761,0.0,30.5378,0,-39.7927,0.0,36.005,0,-32.9473,0.0,18.6698,0
0.316,670,486,0.0,0.0,TOWER_A,TOWER_D,velocity,0,1.227377,1.245772,1.240622,1.261158,-44.2077,0.0,54.9946,0,-38.0761,0.0,30.5378,0,-39.7927,0.0,36.005,0,-32.9473,0.0,18.6698,0
0.3323,670,486,0.0,0.0,TOWER_A,TOWER_D,velocity,0,1.227377,1.245772,1.240622,1.261158,-44.2077,0.0,54.9946,0,-38.0761,0.0,30.5378,0,-39.7927,0.0,36.005,0,-32.9473,0.0,18.6698,0
0.3497,670,486,0.0,0.0,TOWER_A,TOWER_D,velocity,0,1.227377,1.245772,1.240622,1.261158,-44.2077,0.0,54.9946,0,-38.0761,0.0,30.5378,0,-39.7927,0.0,36.005,0,-32.9473,0.0,18.6698,0
0.3649,670,486,0.0,0.0,TOWER_A,TOWER_D,velocity,0,1.227377,1.245772,1.240622,1.261158,-44.2077,0.0,54.9946,0,-38.0761,0.0,30.5378,0,-39.7927,0.0,36.005,0,-32.9473,0.0,18.6698,0
